lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,1.476950e-02,7.657100e-03,2.489071e-01,4.315936e-03,1.154776e-03
0.15,2.728924e-02,1.573832e-02,4.147022e-01,8.110754e-03,-1.673268e-02
0.22499999999999998,3.820183e-02,2.432939e-02,5.309016e-01,1.158684e-02,-2.735440e-02
0.3,4.947219e-02,3.363378e-02,6.507917e-01,1.557189e-02,-3.346140e-02
0.375,6.331469e-02,4.213693e-02,7.805542e-01,1.855621e-02,-4.886924e-02
0.44999999999999996,7.329147e-02,4.944056e-02,9.373547e-01,2.106861e-02,-5.573235e-02
0.525,7.965941e-02,5.716635e-02,1.039568e+00,2.370149e-02,-6.361862e-02
0.6,8.941811e-02,6.494964e-02,1.122815e+00,2.665341e-02,-6.065380e-02
0.6749999999999999,9.796689e-02,7.254277e-02,1.209345e+00,2.934325e-02,-6.131379e-02
0.75,1.037978e-01,7.994938e-02,1.289114e+00,3.158305e-02,-5.753467e-02
0.825,1.075183e-01,8.682510e-02,1.366270e+00,3.348288e-02,-5.617382e-02
0.8999999999999999,1.126410e-01,9.275533e-02,1.485336e+00,3.487047e-02,-5.021128e-02
0.975,1.172845e-01,9.933620e-02,1.578276e+00,3.623834e-02,-4.501777e-02
1.05,1.217806e-01,1.064059e-01,1.712705e+00,3.761537e-02,-4.025685e-02
1.125,1.297392e-01,1.141243e-01,1.836053e+00,3.916802e-02,-4.036383e-02
1.2,1.381154e-01,1.218093e-01,1.942609e+00,4.069434e-02,-4.418413e-02
1.275,1.448011e-01,1.287318e-01,2.039295e+00,4.156650e-02,-4.303422e-02
1.3499999999999999,1.497531e-01,1.356290e-01,2.117617e+00,4.206295e-02,-4.907428e-02
1.425,1.557287e-01,1.439400e-01,2.226050e+00,4.260464e-02,-5.030619e-02
1.5,1.613322e-01,1.526587e-01,2.322094e+00,4.319003e-02,-5.189329e-02
1.575,1.639468e-01,1.614092e-01,2.378055e+00,4.374943e-02,-5.295294e-02
1.65,1.651142e-01,1.704921e-01,2.469400e+00,4.429294e-02,-5.107584e-02
1.7249999999999999,1.668475e-01,1.802108e-01,2.557333e+00,4.568195e-02,-4.964908e-02
1.7999999999999998,1.683012e-01,1.895213e-01,2.658671e+00,4.683427e-02,-5.201380e-02
1.875,1.682754e-01,1.985153e-01,2.759894e+00,4.783242e-02,-5.351605e-02
1.95,1.680246e-01,2.088432e-01,2.854145e+00,4.913733e-02,-5.803004e-02
2.025,1.689878e-01,2.184373e-01,2.929454e+00,4.975944e-02,-6.760167e-02
2.1,1.743409e-01,2.293270e-01,3.022611e+00,5.107522e-02,-7.396025e-02
2.175,1.770854e-01,2.404610e-01,3.102181e+00,5.245772e-02,-8.075307e-02
2.25,1.787207e-01,2.517588e-01,3.148407e+00,5.393100e-02,-8.525531e-02
2.3249999999999997,1.830147e-01,2.635325e-01,3.199299e+00,5.585297e-02,-8.127724e-02
2.4,1.874049e-01,2.753725e-01,3.240630e+00,5.729048e-02,-8.187717e-02
2.475,1.922335e-01,2.878816e-01,3.303754e+00,5.878625e-02,-7.995776e-02
2.55,1.973592e-01,3.004595e-01,3.342178e+00,6.050545e-02,-7.619280e-02
2.625,2.027691e-01,3.132087e-01,3.381984e+00,6.234147e-02,-7.171704e-02
2.6999999999999997,2.078462e-01,3.266674e-01,3.429707e+00,6.432912e-02,-6.410352e-02
2.775,2.116772e-01,3.403918e-01,3.475539e+00,6.643498e-02,-5.882666e-02
2.85,2.163923e-01,3.546938e-01,3.509394e+00,6.887640e-02,-4.909880e-02
2.925,2.208860e-01,3.691984e-01,3.548277e+00,7.069920e-02,-4.441380e-02
3.0,2.267553e-01,3.835539e-01,3.584155e+00,7.224453e-02,-4.462118e-02
3.0749999999999997,2.334562e-01,3.976846e-01,3.647880e+00,7.405175e-02,-4.160191e-02
3.15,2.407000e-01,4.122987e-01,3.714495e+00,7.602331e-02,-3.491625e-02
3.225,2.467744e-01,4.268066e-01,3.797346e+00,7.845871e-02,-3.446663e-02
3.3,2.525270e-01,4.402082e-01,3.852852e+00,7.994971e-02,-3.362368e-02
3.375,2.581071e-01,4.534496e-01,3.937168e+00,8.124321e-02,-3.282026e-02
3.4499999999999997,2.643611e-01,4.664274e-01,4.021116e+00,8.159472e-02,-3.408384e-02
3.525,2.725175e-01,4.796397e-01,4.121173e+00,8.182170e-02,-3.596873e-02
3.5999999999999996,2.774994e-01,4.940793e-01,4.185371e+00,8.259855e-02,-3.491804e-02
3.675,2.847361e-01,5.091558e-01,4.239385e+00,8.392188e-02,-2.710466e-02
3.75,2.936985e-01,5.247671e-01,4.286551e+00,8.551416e-02,-2.440614e-02
