lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,1.064166e-02,5.383632e-03,1.022967e-01,3.304375e-03,1.629744e-03
0.15,1.920865e-02,1.109138e-02,1.854223e-01,6.735670e-03,-9.011951e-03
0.22499999999999998,2.667428e-02,1.678955e-02,2.761795e-01,1.041139e-02,-1.447309e-02
0.3,3.385525e-02,2.281269e-02,3.698464e-01,1.438552e-02,-2.025801e-02
0.375,4.101955e-02,2.934637e-02,4.554615e-01,1.865028e-02,-2.678758e-02
0.44999999999999996,4.737566e-02,3.565861e-02,5.538400e-01,2.267336e-02,-3.530614e-02
0.525,5.568405e-02,4.246964e-02,6.650040e-01,2.686846e-02,-4.748528e-02
0.6,6.413521e-02,4.986294e-02,7.754813e-01,3.170012e-02,-6.035262e-02
0.6749999999999999,7.051031e-02,5.702618e-02,8.889982e-01,3.665202e-02,-7.459917e-02
0.75,7.755238e-02,6.457451e-02,1.009516e+00,4.178610e-02,-9.180101e-02
0.825,8.511507e-02,7.230558e-02,1.139603e+00,4.715397e-02,-1.087473e-01
0.8999999999999999,9.202911e-02,8.033867e-02,1.268767e+00,5.257802e-02,-1.237661e-01
0.975,9.926864e-02,8.871711e-02,1.405290e+00,5.829638e-02,-1.394439e-01
1.05,1.087357e-01,9.676708e-02,1.546185e+00,6.399792e-02,-1.517018e-01
1.125,1.156418e-01,1.041523e-01,1.676687e+00,6.969994e-02,-1.624434e-01
1.2,1.234875e-01,1.113383e-01,1.822338e+00,7.510425e-02,-1.757528e-01
1.275,1.330861e-01,1.184050e-01,1.969856e+00,8.044663e-02,-1.895071e-01
1.3499999999999999,1.425517e-01,1.256589e-01,2.116299e+00,8.606712e-02,-2.047883e-01
1.425,1.487731e-01,1.325047e-01,2.259671e+00,9.144388e-02,-2.178696e-01
1.5,1.551759e-01,1.396819e-01,2.384467e+00,9.684241e-02,-2.256717e-01
1.575,1.621513e-01,1.470296e-01,2.506280e+00,1.025572e-01,-2.325864e-01
1.65,1.695362e-01,1.536430e-01,2.641273e+00,1.080393e-01,-2.417203e-01
1.7249999999999999,1.764043e-01,1.597567e-01,2.774154e+00,1.137341e-01,-2.531887e-01
1.7999999999999998,1.816792e-01,1.660440e-01,2.903177e+00,1.195645e-01,-2.658804e-01
1.875,1.863994e-01,1.728966e-01,3.022571e+00,1.261163e-01,-2.779192e-01
1.95,1.908553e-01,1.801565e-01,3.146558e+00,1.327637e-01,-2.878674e-01
2.025,1.947251e-01,1.870235e-01,3.278616e+00,1.396818e-01,-2.953227e-01
2.1,1.986546e-01,1.932992e-01,3.420988e+00,1.464676e-01,-3.064589e-01
2.175,2.035586e-01,2.003894e-01,3.579294e+00,1.536754e-01,-3.209115e-01
2.25,2.085284e-01,2.077610e-01,3.739115e+00,1.607658e-01,-3.368468e-01
2.3249999999999997,2.134593e-01,2.151566e-01,3.905277e+00,1.677597e-01,-3.575284e-01
2.4,2.196592e-01,2.225653e-01,4.076210e+00,1.747534e-01,-3.745479e-01
2.475,2.251751e-01,2.296778e-01,4.237279e+00,1.819394e-01,-3.894103e-01
2.55,2.304279e-01,2.361046e-01,4.402780e+00,1.886813e-01,-4.022565e-01
2.625,2.358780e-01,2.428631e-01,4.551058e+00,1.956294e-01,-4.111683e-01
2.6999999999999997,2.393959e-01,2.497597e-01,4.688825e+00,2.023440e-01,-4.206556e-01
2.775,2.438172e-01,2.563127e-01,4.842689e+00,2.085743e-01,-4.286426e-01
2.85,2.494589e-01,2.629478e-01,4.982675e+00,2.152626e-01,-4.410632e-01
2.925,2.537914e-01,2.697262e-01,5.145470e+00,2.219174e-01,-4.482762e-01
3.0,2.565568e-01,2.767563e-01,5.309773e+00,2.286298e-01,-4.547135e-01
3.0749999999999997,2.590892e-01,2.835929e-01,5.474552e+00,2.348222e-01,-4.581304e-01
3.15,2.609030e-01,2.909197e-01,5.624705e+00,2.416120e-01,-4.605392e-01
3.225,2.609411e-01,2.980943e-01,5.787979e+00,2.484779e-01,-4.629804e-01
3.3,2.608885e-01,3.044597e-01,5.937537e+00,2.547838e-01,-4.623973e-01
3.375,2.609479e-01,3.109699e-01,6.083338e+00,2.606378e-01,-4.588046e-01
3.4499999999999997,2.599678e-01,3.173365e-01,6.227488e+00,2.659795e-01,-4.588967e-01
3.525,2.595358e-01,3.238362e-01,6.360141e+00,2.711713e-01,-4.570904e-01
3.5999999999999996,2.572835e-01,3.302254e-01,6.484794e+00,2.761475e-01,-4.519468e-01
3.675,2.546981e-01,3.367598e-01,6.613113e+00,2.814171e-01,-4.445417e-01
3.75,2.515861e-01,3.434273e-01,6.751610e+00,2.867599e-01,-4.343571e-01
