lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,2.974739e-02,1.779278e-02,2.559096e-01,1.214278e-02,-5.493972e-03
0.15,6.246049e-02,3.789213e-02,4.665645e-01,2.667315e-02,-3.281196e-02
0.22499999999999998,9.486040e-02,5.832132e-02,6.284375e-01,4.221468e-02,-6.955255e-02
0.3,1.299847e-01,8.069921e-02,8.181982e-01,5.900889e-02,-1.103913e-01
0.375,1.640064e-01,1.031094e-01,1.051442e+00,7.616879e-02,-1.410837e-01
0.44999999999999996,1.995189e-01,1.261359e-01,1.322132e+00,9.279322e-02,-1.833986e-01
0.525,2.302193e-01,1.498585e-01,1.606886e+00,1.098337e-01,-2.295057e-01
0.6,2.538106e-01,1.716419e-01,1.891951e+00,1.253913e-01,-2.777037e-01
0.6749999999999999,2.823375e-01,1.944842e-01,2.169978e+00,1.407570e-01,-3.198659e-01
0.75,3.083883e-01,2.159638e-01,2.449867e+00,1.571021e-01,-3.640625e-01
0.825,3.400565e-01,2.375031e-01,2.706956e+00,1.742078e-01,-4.065623e-01
0.8999999999999999,3.719849e-01,2.609937e-01,2.996111e+00,1.919163e-01,-4.463642e-01
0.975,4.018600e-01,2.832976e-01,3.231186e+00,2.079234e-01,-4.837654e-01
1.05,4.328710e-01,3.049395e-01,3.531866e+00,2.228324e-01,-5.106100e-01
1.125,4.593291e-01,3.270982e-01,3.836825e+00,2.391005e-01,-5.381195e-01
1.2,4.837924e-01,3.504589e-01,4.094767e+00,2.574601e-01,-5.645790e-01
1.275,5.097674e-01,3.750536e-01,4.328168e+00,2.771219e-01,-5.982895e-01
1.3499999999999999,5.349394e-01,4.005020e-01,4.551212e+00,2.978633e-01,-6.262859e-01
1.425,5.592580e-01,4.272251e-01,4.785407e+00,3.196502e-01,-6.478476e-01
1.5,5.792103e-01,4.555134e-01,5.002424e+00,3.427650e-01,-6.669832e-01
1.575,5.997753e-01,4.838831e-01,5.192863e+00,3.670221e-01,-6.790858e-01
1.65,6.201697e-01,5.106716e-01,5.378309e+00,3.924137e-01,-6.815559e-01
1.7249999999999999,6.384786e-01,5.344640e-01,5.553108e+00,4.158899e-01,-6.761591e-01
1.7999999999999998,6.606125e-01,5.582146e-01,5.678444e+00,4.396741e-01,-6.671868e-01
1.875,6.818417e-01,5.831442e-01,5.851106e+00,4.653004e-01,-6.520213e-01
1.95,7.046846e-01,6.076043e-01,6.036110e+00,4.903351e-01,-6.405291e-01
2.025,7.295658e-01,6.311780e-01,6.189624e+00,5.143410e-01,-6.318786e-01
2.1,7.564309e-01,6.540478e-01,6.359167e+00,5.376664e-01,-6.226040e-01
2.175,7.873359e-01,6.758227e-01,6.492887e+00,5.595553e-01,-6.047860e-01
2.25,8.137884e-01,6.976566e-01,6.597150e+00,5.813633e-01,-5.997794e-01
2.3249999999999997,8.413510e-01,7.197631e-01,6.765427e+00,6.029037e-01,-5.954565e-01
2.4,8.710097e-01,7.407256e-01,6.918306e+00,6.224700e-01,-5.875948e-01
2.475,9.005622e-01,7.595444e-01,7.086118e+00,6.405567e-01,-5.754674e-01
2.55,9.300079e-01,7.795318e-01,7.213660e+00,6.580448e-01,-5.723847e-01
2.625,9.630160e-01,7.998040e-01,7.360194e+00,6.765851e-01,-5.755755e-01
2.6999999999999997,9.962954e-01,8.178352e-01,7.529158e+00,6.949775e-01,-5.808892e-01
2.775,1.031059e+00,8.351540e-01,7.715734e+00,7.122563e-01,-5.899485e-01
2.85,1.068223e+00,8.516314e-01,7.870635e+00,7.293455e-01,-6.055720e-01
2.925,1.105873e+00,8.664837e-01,8.081143e+00,7.443697e-01,-6.321024e-01
3.0,1.137700e+00,8.829558e-01,8.296664e+00,7.584952e-01,-6.681832e-01
3.0749999999999997,1.169655e+00,9.006892e-01,8.486971e+00,7.730286e-01,-6.916300e-01
3.15,1.197976e+00,9.198053e-01,8.682900e+00,7.872552e-01,-7.071421e-01
3.225,1.217594e+00,9.410865e-01,8.876440e+00,8.020071e-01,-7.341018e-01
3.3,1.234601e+00,9.587290e-01,9.164227e+00,8.150910e-01,-7.535230e-01
3.375,1.252901e+00,9.787517e-01,9.424805e+00,8.281865e-01,-7.641003e-01
3.4499999999999997,1.268268e+00,9.996315e-01,9.729965e+00,8.425007e-01,-7.712324e-01
3.525,1.282587e+00,1.019923e+00,1.000501e+01,8.561679e-01,-7.773832e-01
3.5999999999999996,1.296854e+00,1.039670e+00,1.029888e+01,8.685325e-01,-7.820737e-01
3.675,1.314303e+00,1.057703e+00,1.064613e+01,8.801922e-01,-7.831247e-01
3.75,1.332491e+00,1.074887e+00,1.099445e+01,8.904119e-01,-8.007058e-01
