lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,1.894476e-02,1.619637e-02,2.721035e-01,9.269037e-03,5.019452e-04
0.15,4.244658e-02,3.289458e-02,5.238107e-01,1.864756e-02,-1.384984e-02
0.22499999999999998,6.141785e-02,5.105792e-02,7.713792e-01,2.843244e-02,-3.252380e-02
0.3,7.908216e-02,6.818483e-02,9.557884e-01,3.789521e-02,-4.544112e-02
0.375,9.982685e-02,8.498110e-02,1.121545e+00,4.647521e-02,-6.039545e-02
0.44999999999999996,1.256987e-01,1.030030e-01,1.293569e+00,5.624019e-02,-7.339462e-02
0.525,1.512737e-01,1.176657e-01,1.504969e+00,6.468638e-02,-8.845804e-02
0.6,1.763433e-01,1.334221e-01,1.679166e+00,7.415103e-02,-1.086552e-01
0.6749999999999999,2.012554e-01,1.488771e-01,1.871731e+00,8.371885e-02,-1.335287e-01
0.75,2.282147e-01,1.643699e-01,2.056662e+00,9.290146e-02,-1.532733e-01
0.825,2.541264e-01,1.791081e-01,2.289516e+00,1.027245e-01,-1.746646e-01
0.8999999999999999,2.782419e-01,1.930976e-01,2.471498e+00,1.113672e-01,-1.989114e-01
0.975,3.003496e-01,2.096842e-01,2.660482e+00,1.222071e-01,-2.221721e-01
1.05,3.235591e-01,2.253057e-01,2.872255e+00,1.330843e-01,-2.401695e-01
1.125,3.441203e-01,2.407782e-01,3.089361e+00,1.440603e-01,-2.539263e-01
1.2,3.640378e-01,2.567873e-01,3.309679e+00,1.553348e-01,-2.692259e-01
1.275,3.882377e-01,2.725503e-01,3.543068e+00,1.658510e-01,-2.931800e-01
1.3499999999999999,4.168581e-01,2.880766e-01,3.744446e+00,1.762073e-01,-3.149073e-01
1.425,4.414923e-01,3.033655e-01,3.940642e+00,1.862938e-01,-3.310679e-01
1.5,4.674267e-01,3.178690e-01,4.108010e+00,1.950987e-01,-3.512266e-01
1.575,4.960123e-01,3.356764e-01,4.351854e+00,2.053895e-01,-3.646951e-01
1.65,5.225685e-01,3.546834e-01,4.599641e+00,2.165373e-01,-3.764603e-01
1.7249999999999999,5.476016e-01,3.743342e-01,4.894646e+00,2.280877e-01,-3.876436e-01
1.7999999999999998,5.713368e-01,3.947507e-01,5.192105e+00,2.403861e-01,-4.007865e-01
1.875,5.959659e-01,4.158780e-01,5.493941e+00,2.520942e-01,-4.115721e-01
1.95,6.207211e-01,4.387461e-01,5.799053e+00,2.652060e-01,-4.104153e-01
2.025,6.461097e-01,4.634282e-01,6.103908e+00,2.793061e-01,-4.110588e-01
2.1,6.699985e-01,4.889506e-01,6.367086e+00,2.940874e-01,-4.161404e-01
2.175,6.900047e-01,5.149691e-01,6.641062e+00,3.081376e-01,-4.190447e-01
2.25,7.089467e-01,5.418585e-01,6.939534e+00,3.219355e-01,-4.114916e-01
2.3249999999999997,7.281907e-01,5.688324e-01,7.243707e+00,3.358642e-01,-3.966920e-01
2.4,7.470024e-01,5.961283e-01,7.530452e+00,3.498038e-01,-3.817130e-01
2.475,7.661136e-01,6.236595e-01,7.822020e+00,3.645821e-01,-3.782678e-01
2.55,7.874548e-01,6.514063e-01,8.161786e+00,3.789051e-01,-3.662640e-01
2.625,8.097254e-01,6.814891e-01,8.575913e+00,3.938887e-01,-3.530620e-01
2.6999999999999997,8.284393e-01,7.130335e-01,8.982772e+00,4.096580e-01,-3.381712e-01
2.775,8.463839e-01,7.457691e-01,9.385530e+00,4.251860e-01,-3.271947e-01
2.85,8.591752e-01,7.787320e-01,9.692914e+00,4.409753e-01,-3.205722e-01
2.925,8.701152e-01,8.117395e-01,1.002048e+01,4.573068e-01,-3.020918e-01
3.0,8.792326e-01,8.449692e-01,1.034087e+01,4.742340e-01,-2.686552e-01
3.0749999999999997,8.852053e-01,8.777160e-01,1.068347e+01,4.916348e-01,-2.399469e-01
3.15,8.893801e-01,9.084490e-01,1.106654e+01,5.081130e-01,-2.188337e-01
3.225,8.933213e-01,9.379464e-01,1.150383e+01,5.230964e-01,-1.989152e-01
3.3,8.966163e-01,9.660643e-01,1.192426e+01,5.371405e-01,-1.771464e-01
3.375,8.983218e-01,9.945126e-01,1.240642e+01,5.521373e-01,-1.504825e-01
3.4499999999999997,9.000624e-01,1.023755e+00,1.288918e+01,5.674186e-01,-1.243858e-01
3.525,9.018867e-01,1.053127e+00,1.342212e+01,5.820987e-01,-9.135840e-02
3.5999999999999996,9.066766e-01,1.083917e+00,1.394387e+01,5.974498e-01,-5.219725e-02
3.675,9.105249e-01,1.115568e+00,1.446709e+01,6.133281e-01,-2.357304e-02
3.75,9.136649e-01,1.146998e+00,1.499267e+01,6.291873e-01,-1.516946e-03
