lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,1.040733e-02,5.410998e-03,1.945534e-01,1.197596e-03,5.230200e-03
0.15,1.808273e-02,1.131441e-02,3.230232e-01,2.296698e-03,-2.161969e-03
0.22499999999999998,2.616323e-02,1.755285e-02,4.421106e-01,3.492043e-03,-9.608855e-03
0.3,3.449902e-02,2.365731e-02,5.158333e-01,4.549010e-03,-1.384980e-02
0.375,4.288434e-02,2.984130e-02,6.287714e-01,5.614344e-03,-1.381689e-02
0.44999999999999996,4.943675e-02,3.575575e-02,7.639094e-01,6.714256e-03,-1.589710e-02
0.525,5.701199e-02,4.194271e-02,8.894141e-01,8.007525e-03,-2.193620e-02
0.6,6.528346e-02,4.885024e-02,9.966885e-01,9.190432e-03,-2.739135e-02
0.6749999999999999,7.339029e-02,5.596954e-02,1.123515e+00,1.039803e-02,-3.333058e-02
0.75,8.136666e-02,6.306557e-02,1.265011e+00,1.163936e-02,-4.013519e-02
0.825,8.857384e-02,7.029802e-02,1.398828e+00,1.298364e-02,-5.266029e-02
0.8999999999999999,9.600122e-02,7.740653e-02,1.514822e+00,1.422056e-02,-6.412302e-02
0.975,1.029741e-01,8.462611e-02,1.640637e+00,1.552186e-02,-7.746623e-02
1.05,1.101067e-01,9.151627e-02,1.770694e+00,1.679765e-02,-9.577519e-02
1.125,1.176281e-01,9.793641e-02,1.929554e+00,1.803823e-02,-1.132047e-01
1.2,1.261590e-01,1.043306e-01,2.095487e+00,1.916751e-02,-1.309035e-01
1.275,1.340310e-01,1.108787e-01,2.257195e+00,2.019475e-02,-1.515585e-01
1.3499999999999999,1.431932e-01,1.176360e-01,2.412846e+00,2.112820e-02,-1.658371e-01
1.425,1.511950e-01,1.251121e-01,2.581065e+00,2.220569e-02,-1.894908e-01
1.5,1.592397e-01,1.330245e-01,2.782521e+00,2.315317e-02,-2.117157e-01
1.575,1.673743e-01,1.410518e-01,2.994263e+00,2.411429e-02,-2.361314e-01
1.65,1.756858e-01,1.489886e-01,3.180312e+00,2.503640e-02,-2.597721e-01
1.7249999999999999,1.837196e-01,1.565703e-01,3.385127e+00,2.589666e-02,-2.829924e-01
1.7999999999999998,1.919637e-01,1.643034e-01,3.606400e+00,2.677329e-02,-3.011102e-01
1.875,2.012253e-01,1.716652e-01,3.814543e+00,2.779119e-02,-3.263779e-01
1.95,2.124290e-01,1.796023e-01,4.021361e+00,2.869637e-02,-3.490839e-01
2.025,2.228268e-01,1.885101e-01,4.227426e+00,2.962042e-02,-3.698861e-01
2.1,2.325570e-01,1.969802e-01,4.467332e+00,3.048486e-02,-3.949947e-01
2.175,2.433154e-01,2.058840e-01,4.704990e+00,3.126903e-02,-4.183787e-01
2.25,2.527669e-01,2.151446e-01,4.910671e+00,3.219410e-02,-4.422029e-01
2.3249999999999997,2.618006e-01,2.240193e-01,5.110078e+00,3.312679e-02,-4.649201e-01
2.4,2.722173e-01,2.330903e-01,5.329038e+00,3.413863e-02,-4.883648e-01
2.475,2.818780e-01,2.423662e-01,5.559825e+00,3.505657e-02,-5.108841e-01
2.55,2.908425e-01,2.520764e-01,5.807052e+00,3.608429e-02,-5.387863e-01
2.625,2.995948e-01,2.616518e-01,6.031786e+00,3.706523e-02,-5.642196e-01
2.6999999999999997,3.079868e-01,2.712088e-01,6.283795e+00,3.790613e-02,-5.871771e-01
2.775,3.156268e-01,2.806489e-01,6.503983e+00,3.881022e-02,-6.079661e-01
2.85,3.241421e-01,2.904031e-01,6.759746e+00,3.975405e-02,-6.240598e-01
2.925,3.312302e-01,3.003189e-01,6.998947e+00,4.065343e-02,-6.458018e-01
3.0,3.383060e-01,3.101212e-01,7.261673e+00,4.163332e-02,-6.600749e-01
3.0749999999999997,3.450964e-01,3.193469e-01,7.512158e+00,4.241276e-02,-6.773066e-01
3.15,3.517338e-01,3.293710e-01,7.759366e+00,4.319712e-02,-6.996953e-01
3.225,3.570595e-01,3.388265e-01,8.046549e+00,4.404112e-02,-7.179779e-01
3.3,3.631846e-01,3.484761e-01,8.344627e+00,4.498696e-02,-7.382020e-01
3.375,3.690669e-01,3.579198e-01,8.591479e+00,4.596870e-02,-7.676416e-01
3.4499999999999997,3.756471e-01,3.669256e-01,8.858063e+00,4.685960e-02,-7.940748e-01
3.525,3.822389e-01,3.754194e-01,9.155716e+00,4.760115e-02,-8.198332e-01
3.5999999999999996,3.894753e-01,3.836025e-01,9.461229e+00,4.858221e-02,-8.409370e-01
3.675,3.960769e-01,3.918668e-01,9.726471e+00,4.939473e-02,-8.586957e-01
3.75,4.034102e-01,3.998965e-01,9.982077e+00,5.041032e-02,-8.798367e-01
